sentiment,text,user,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",kurniawan_TP,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",PapaBear2019,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,athet13261689,
neutral,RT @BuanaEzi: Isu pki begitu gencar disuarakan oleh kaum oposisi utk meruntuhkan kepercayaan rakyat terhadap kepemimpinan yg sah dan konsti…,Juanda_amc,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,inthuliaster,
neutral,RT @BuanaEzi: Isu pki begitu gencar disuarakan oleh kaum oposisi utk meruntuhkan kepercayaan rakyat terhadap kepemimpinan yg sah dan konsti…,DianaAspari,
neutral,RT @kimansu: Sepak terjang orde bangkai dalam memanfaatkan isu PKI masih berlangsung hingga kini. https://t.co/X2jNIWR6qA,novianusdamping,
neutral,RT @tjhinfar21: Yg sibuk cetak bendera PKI lalu dibakar kelompok kalian\nYg sebar isu kebangkitan PKI kalian juga\nYg inget hari ultah PKI ka…,Noerick_23,
neutral,RT @kimansu: Sepak terjang orde bangkai dalam memanfaatkan isu PKI masih berlangsung hingga kini. https://t.co/X2jNIWR6qA,ariel_heryanto,
neutral,Terima kasih pujian tak sampainya Pak Bud.@fadlizon\n\nTERSIRAT.@jokowi\n\nAku bersyukur isu PKI masih ada setidaknya n… https://t.co/iJBcXB0mYN,lidah_gelora,
neutral,"85% rakyat Indonesia mengerti apa dan siapa PKI dan siapa anda, kami tdk bodoh.\ncuitan anda menberikan kode klo and… https://t.co/6OGdG1e938",Ashraf_Abimayu,
neutral,RT @JsDeyz: @haikal_hassan Jualan PKI nya ga laku ya um 😄🤗\n\nPublik udah pd pinter2 um.\nJika tujuan'y hny utk nakut2in dgn memunculkan isu P…,ErnaZahra,
